Order_ID,Date,Category,Sub_Category,Product,Region,Sales,Quantity,Discount,Profit
1058,2024-08-05,Furniture,Chairs,Folding Chair Set,West,160.00,6,0.00,45.00
1059,2024-08-08,Technology,Laptops,Acer Aspire,West,580.00,2,0.10,155.00
1060,2024-08-12,Office Supplies,Pens,Whiteboard Marker,South,8.00,80,0.00,3.00
1061,2024-08-15,Furniture,Sofas,2-Seater Loveseat,Central,1100.00,1,0.10,300.00
1062,2024-08-18,Technology,Accessories,Smart Watch,East,280.00,2,0.05,85.00
1063,2024-08-22,Office Supplies,Notebooks,Composition Book,West,6.00,50,0.00,2.00
1064,2024-08-25,Technology,Phones,Nokia G60,South,350.00,4,0.05,95.00
1065,2024-09-01,Furniture,Tables,Foldable Table,Central,220.00,3,0.00,65.00
1066,2024-09-05,Technology,Laptops,Microsoft Surface,East,1200.00,1,0.05,340.00
1067,2024-09-08,Office Supplies,Binders,Zippered Binder,West,32.00,14,0.00,11.00
1068,2024-09-12,Furniture,Bookshelves,Tall Bookcase,South,480.00,1,0.10,130.00
1069,2024-09-15,Technology,Accessories,Portable Charger,Central,50.00,8,0.05,16.00
1070,2024-09-18,Office Supplies,Staplers,Mini Stapler,East,15.00,25,0.00,5.00
1071,2024-09-22,Technology,Phones,Oppo Reno 11,West,650.00,2,0.05,180.00
1072,2024-09-25,Furniture,Chairs,Accent Chair,South,620.00,1,0.10,170.00
1073,2024-10-01,Technology,Tablets,Huawei MatePad,Central,550.00,2,0.05,155.00
1074,2024-10-05,Office Supplies,Paper,Recycled Paper Pack,East,12.00,60,0.00,4.00
1075,2024-10-08,Technology,Laptops,Dell XPS 15,West,1800.00,1,0.05,500.00
1076,2024-10-12,Furniture,Desks,Corner Desk,South,780.00,2,0.10,215.00
1077,2024-10-15,Office Supplies,Pens,Calligraphy Pen Set,Central,38.00,12,0.00,13.00
1078,2024-10-18,Technology,Accessories,Bluetooth Speaker,East,120.00,4,0.05,38.00
1079,2024-10-22,Furniture,Sofas,Recliner Sofa,West,2500.00,1,0.20,580.00
1080,2024-10-25,Office Supplies,Notebooks,Dotted Grid Notebook,South,14.00,35,0.00,5.00
1081,2024-11-01,Technology,Phones,Samsung Galaxy A55,Central,550.00,3,0.05,155.00
1082,2024-11-05,Furniture,Tables,Extendable Table,East,850.00,1,0.10,235.00
1083,2024-11-08,Technology,Laptops,Apple MacBook Pro,West,2200.00,1,0.00,640.00
1084,2024-11-12,Office Supplies,Binders,Presentation Binder,South,40.00,10,0.00,14.00
1085,2024-11-15,Furniture,Chairs,Wingback Chair,Central,980.00,1,0.15,265.00
1086,2024-11-18,Technology,Accessories,LED Monitor 24",East,380.00,2,0.10,110.00
1087,2024-11-22,Office Supplies,Staplers,Saddle Stapler,West,85.00,3,0.00,28.00
1088,2024-11-25,Technology,Tablets,Lenovo Tab P12,South,680.00,2,0.05,190.00
1089,2024-12-01,Furniture,Bookshelves,Modular Shelf,Central,650.00,1,0.10,178.00
1090,2024-12-05,Office Supplies,Paper,Cardstock Pack,East,20.00,40,0.00,7.00
1091,2024-12-08,Technology,Phones,iPhone 15 Pro,West,1600.00,2,0.05,470.00
1092,2024-12-12,Furniture,Desks,Height Adj. Desk,South,1250.00,1,0.10,345.00
1093,2024-12-15,Office Supplies,Pens,Retractable Pens Set,Central,22.00,20,0.00,8.00
1094,2024-12-18,Technology,Accessories,Mechanical Keyboard,East,180.00,3,0.05,56.00
1095,2024-12-22,Furniture,Chairs,Chaise Lounge,West,1400.00,1,0.20,320.00
1096,2024-12-25,Office Supplies,Notebooks,Leather Journal,South,28.00,15,0.00,10.00
1097,2024-12-27,Technology,Laptops,Razer Blade 15,Central,2800.00,1,0.05,820.00
1098,2024-12-28,Furniture,Tables,Marble Top Table,East,1600.00,1,0.10,440.00
1099,2024-12-29,Technology,Phones,Xiaomi 14,West,750.00,2,0.05,210.00
1100,2024-12-30,Office Supplies,Binders,Executive Binder,South,50.00,8,0.00,18.00
